species;taxid;taxon_group;angiosperm_group;family;genome_size;genome_Cvalue;ploidy;hcn
Cucumis_sativus;3659;eudicotyledons;Eudicot;Cucurbitaceae;NA;880;2;7
Cucurbita_maxima;3661;eudicotyledons;Eudicot;Cucurbitaceae;NA;450;NA;NA
Cucurbita_moschata;3662;eudicotyledons;Eudicot;Cucurbitaceae;NA;416;NA;NA
Cucurbita_pepo;3663;eudicotyledons;Eudicot;Cucurbitaceae;NA;538;NA;NA
Cynara_cardunculus;4265;eudicotyledons;NA;Asteraceae;NA;NA;NA;NA
Cynodon_dactylon;28909;Liliopsida;Monocot;Poaceae;NA;782;NA;NA
Dactylis_glomerata;4509;Liliopsida;Monocot;Poaceae;NA;3227;2;7
Daucus_carota;4039;eudicotyledons;Eudicot;Apiaceae;NA;978;2;9
Dianthus_caryophyllus;3570;eudicotyledons;Eudicot;Caryophyllaceae;NA;611;NA;NA
Dioscorea_alata;55571;Liliopsida;Monocot;Dioscoreaceae;NA;562;4;10
Draba_nivalis;171823;eudicotyledons;Eudicot;Brassicaceae;NA;308;2;8
Elaeis_guineensis;51953;Liliopsida;Monocot;Arecaceae;NA;1839;2;16
Elaeis_oleifera;80265;Liliopsida;NA;Arecaceae;NA;NA;NA;NA
Elymus_lanceolatus;86019;Liliopsida;Monocot;Poaceae;NA;8240;4;7
Eremochloa_ophiuroides;866555;Liliopsida;Monocot;Poaceae;NA;812;2;9
Eriobotrya_japonica;32224;eudicotyledons;Eudicot;Rosaceae;NA;758;2;17
Eucalyptus_camaldulensis;34316;eudicotyledons;Eudicot;Myrtaceae;NA;601;2;11
Eucalyptus_grandis;71139;eudicotyledons;Eudicot;Myrtaceae;NA;611;2;11
Eucalyptus_tereticornis;183855;eudicotyledons;Eudicot;Myrtaceae;NA;587;2;11
Eucalyptus_urophylla;99020;eudicotyledons;Eudicot;Myrtaceae;NA;626;2;11
Eucommia_ulmoides;4392;eudicotyledons;Eudicot;Eucommiaceae;NA;724;2;17
Fagopyrum_esculentum;3617;eudicotyledons;NA;Polygonaceae;NA;NA;NA;NA
Festuca_arundinacea;4606;Liliopsida;Monocot;Poaceae;NA;4181;4;7
Ficus_carica;3494;eudicotyledons;Eudicot;Moraceae;NA;357;NA;NA
Fragaria_ananassa;3747;eudicotyledons;NA;Rosaceae;NA;NA;NA;NA
Fragaria_iinumae;64939;eudicotyledons;NA;Rosaceae;NA;NA;NA;NA
Fragaria_sp;NA;NA;NA;NA;NA;NA;NA;NA
Fragaria_vesca;57918;eudicotyledons;Eudicot;Rosaceae;NA;241;2;7
Fragaria_virginiana;101015;eudicotyledons;Eudicot;Rosaceae;NA;391;8;7
Fraxinus_pennsylvanica;56036;eudicotyledons;NA;Oleaceae;NA;NA;NA;NA
Gentiana_scabra;292393;eudicotyledons;NA;Gentianaceae;NA;NA;NA;NA
Ginkgo_biloba;3311;Ginkgoidae;NA;Ginkgoaceae;NA;NA;NA;NA
Glycine_max;3847;eudicotyledons;Eudicot;Fabaceae;NA;1100;2;20
Gossypium_barbadense;3634;eudicotyledons;Eudicot;Malvaceae;NA;2450;2;13
Gossypium_hirsutum;3635;eudicotyledons;Eudicot;Malvaceae;NA;2347;4;13
