"id";"valid";"ref";"year";"species";"taxid";"taxon";"taxon_group";"family";"marker_type";"nb_markers";"sex";"crossing";"n_progeny";"n_meiosis";"linkage_map_length";"physical_length";"map_quality";"mapping_function";"accession";"link_genome";"ref_genome";"genome_size";"genome_Cvalue";"ploidy";"hcn";"original_map";"public_database";"ABH_data";"MapMaker_data";"link_data";"doi";"contact"
"NA";"FALSE";"Maughan";2011;"Amaranthus_hybridus";3565;"Angiosperm";1;"Amaranthaceae";"NA";"NA";"NA";"NA";"NA";"NA";1288;"NA";"NA";"NA";"NA";"NA";"NA";"616.14";685;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"doi:10.3835/plantgenome2010.12.0027";"NA"
"NA";"FALSE";"deSousa";2013;"Ananas_comosus";4615;"Angiosperm";4;"Bromeliaceae";"NA";"NA";"NA";"NA";"NA";"NA";2113;"NA";"NA";"NA";"NA";"NA";"NA";"537.9";538;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1016/j.scienta.2013.04.018";"NA"
"NA";"FALSE";"Venkat";2014;"Anthurium_andreanum";226677;"Angiosperm";4;"Araceae";"NA";"NA";"NA";"NA";"NA";"NA";"1023.5";"NA";"NA";"NA";"NA";"NA";"NA";"4694.4";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1016/j.scienta.2014.08.017";"NA"
"NA";"FALSE";"Willems";2007;"Arabidopsis_halleri";81970;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";567;"NA";"NA";"NA";"NA";"NA";"NA";"234.72";235;2;8;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1534/genetics.106.064485";"NA"
"Arabidopsis_thaliana_Schmidt2017";"FALSE";"Schmidt";2017;"Arabidopsis_thaliana";3702;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";156;2;5;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs00299-017-2200-6/MediaObjects/299_2017_2200_MOESM7_ESM.xlsx";"https://doi.org/10.1007/s00299-017-2200-6";"NA"
"NA";"FALSE";"Singer";2015;"Arabidopsis_thaliana";3702;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";"422.5";"NA";"NA";"NA";"NA";"NA";"NA";"123.5";156;2;5;"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"NA";"FALSE";"Nagy";2010;"Arachis_duranensis";130453;"Angiosperm";1;"Fabaceae";"NA";"NA";"NA";"NA";"NA";"NA";"1081.3";"NA";"NA";"NA";"NA";"NA";"NA";"1242.06";1240;2;10;"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"Arachis_duranensis_Nagy2012";"FALSE";"Nagy";2012;"Arachis_duranensis";130453;"Angiosperm";1;"Fabaceae";"NA";513;"NA";"NA";"NA";"NA";"893.508";"NA";"NA";"NA";"NA";"ftp://ftp.ncbi.nlm.nih.gov/genomes/Arachis_duranensis/";"https://www.ncbi.nlm.nih.gov/assembly/GCF_000817695.2";"1242.06";1240;2;10;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1186%2F1471-2164-13-469/MediaObjects/12864_2011_4559_MOESM3_ESM.xlsx";"https://doi.org/10.1186/1471-2164-13-469";"NA"
"NA";"FALSE";"Zhou";2014;"Arachis_hypogaea";3818;"Angiosperm";1;"Fabaceae";"NA";"NA";"NA";"NA";"NA";"NA";"1446.7";"NA";"NA";"NA";"NA";"NA";"NA";"2806.86";2807;4;10;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1186/1471-2164-15-351";"NA"
"Arachis_hypogea_Huang2016";"FALSE";"Huang";2016;"Arachis_hypogaea";3818;"Angiosperm";1;"Fabaceae";"NA";1218;"NA";"NA";"NA";"NA";"2038.518";"NA";"NA";"NA";"NA";"ftp://ftp.ncbi.nlm.nih.gov/genomes/Arachis_hypogaea/";"https://www.ncbi.nlm.nih.gov/assembly/GCA_003086295.2";"NA";2807;4;10;"NA";"NA";"NA";"NA";"https://media.nature.com/original/nature-assets/srep/2016/161220/srep39478/extref/srep39478-s2.xls";"https://doi.org/10.1038/srep39478";"NA"
"Arachis_hypogaea_Chen2017";"FALSE";"Chen";2017;"Arachis_hypogaea";3818;"Angiosperm";1;"Fabaceae";"NA";176;"NA";"NA";"NA";"NA";2050;"NA";"NA";"NA";"NA";"ftp://ftp.ncbi.nlm.nih.gov/genomes/Arachis_hypogaea/";"https://www.ncbi.nlm.nih.gov/assembly/GCA_003086295.2";"NA";2807;4;10;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs11032-016-0587-3/MediaObjects/11032_2016_587_MOESM8_ESM.xlsx";"https://doi.org/10.1007/s11032-016-0587-3";"NA"
"NA";"FALSE";"Agarwal";2018;"Arachis_hypogaea";3818;"Angiosperm";1;"Fabaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2807;4;10;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1111/pbi.12930";"NA"
"Avena_sativa_Chaffin2016";"FALSE";"Chaffin";2016;"Avena_sativa";4498;"Angiosperm";4;"Poaceae";"NA";"NA";"NA";"NA";"NA";"NA";2843;"NA";"NA";"NA";"NA";"NA";"NA";"12938.94";12934;6;7;"NA";"NA";"NA";"NA";"https://dl.sciencesocieties.org/publications/tpg/supplements/9/plantgenome2015-10-0102-supplement1.zip";"doi:10.3835/plantgenome2015.10.0102";"NA"
"Hordeum_vulgare_Marcel2006";"FALSE";"Marcel";2006;"Hordeum_vulgare";4513;"Angiosperm";4;"Poaceae";"RFLP-AFLP";3258;"NA";"NA";"NA";"NA";"1086.71301012795";"NA";"NA";"NA";"NA";"NA";"NA";"NA";5428;2;7;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-006-0448-2/MediaObjects/122_2006_448_MOESM3_ESM.xls";"https://doi.org/10.1007/s00122-006-0448-2";"NA"
"NA";"FALSE";"Kuzina";2011;"Barbarea_vulgaris";50459;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";889;"NA";"NA";"NA";"NA";"NA";"NA";"167.352";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1016/j.phytochem.2010.11.007";"NA"
