phys	rec.rate	upper	lower
0.5	NA	NA	NA
1.5	6.04131038473375	6.7769590666948	5.1256628426527
2.5	5.25588749248979	6.24352151121104	3.81069986571578
3.5	5.96376784155016	6.68925216009523	5.18525637561598
4.5	8.01917440192534	10.1163546513359	6.96751539216376
5.5	8.54254710007336	9.0922027969563	7.96066278309764
6.5	7.57328474760692	8.11620263969441	7.15452603157303
7.5	5.87475164217879	6.54542053790148	5.25987720870167
8.5	3.63428487157182	4.3917542711337	2.63635883638261
9.5	3.04225757944998	3.68922185721199	2.30384614957538
10.5	3.25892573793112	3.88804768623949	2.784394529067
11.5	2.93721307123339	3.26827295117113	2.63701197073725
12.5	2.48389982160037	2.82757021966427	2.09255694917713
13.5	1.93750471273669	2.2596515907954	1.54535722969089
14.5	1.30374815970616	1.58667500085422	0.99864271063819
15.5	0.78711533969848	1.22667514509419	0.414790540461501
16.5	0.592649002376412	1.05355696836261	0.160712823635611
17.5	0.450687713230232	0.813528141622875	0.136409711313053
18.5	0.433035486984097	0.8057365389385	0.0314389378158147
19.5	0.482709604980235	0.797075046007541	0.126988056679117
20.5	0.769416122966024	1.06415614369935	0.414880419890815
21.5	1.09492096120171	1.33138156451809	0.757294866594408
22.5	1.45505476622476	1.69867660693041	1.20260866502926
23.5	1.87593740350265	2.13091904755735	1.67223472504769
24.5	2.34335739504017	2.67966423527482	2.08728009050158
25.5	2.54108765061962	2.82800290474048	2.29366134099948
26.5	2.38197332451669	2.74528607914808	1.98656593954932
27.5	2.82168943113258	3.14100251755077	2.48421116804544
28.5	3.92732478513022	4.16481780745149	3.63602866523522
29.5	5.27126674002302	5.52998712430264	5.06438012230031
30.5	6.55656087144749	6.9392287282621	6.14096777031739
31.5	7.39673116552384	7.74326602311765	7.00205959695712
32.5	6.05498099835398	6.6087326919094	5.44546831102909
33.5	6.54933977045908	7.54300117006753	5.63196531813323
34.5	8.49098300479689	9.78466296505679	7.09133190247984
35.5	4.97105126345946	6.20696147268617	3.71924349845418
36.5	4.89432936382169	5.49767619522416	4.19536717396096
37.5	4.9635044462987	5.39727803472806	4.44230980809782
38.3776975	4.45979805751666	5.14470168496599	3.58129344185894
