phys	rec.rate	upper	lower
0.5	NA	NA	NA
1.5	9.58220094703408	10.8971567109154	8.07993731339388
2.5	5.65299531525337	6.75656930045273	4.27030591971043
3.5	3.60269046097611	4.80393061158346	2.56664391879586
4.5	1.8192563791156	3.04274267169607	0.702564171609016
5.5	2.43822709477227	3.3086191955187	1.40144718758956
6.5	3.74892948059358	5.25997569353876	2.68851408053622
7.5	3.50802174553123	4.38148570778071	2.86645196783669
8.5	3.17501067987038	3.76255166771268	2.63888956313355
9.5	2.76579102364484	3.46284870708379	2.13128925140191
10.5	2.24744476703709	3.11174803865238	1.74127987648422
11.5	1.82345490650558	2.6060001909679	1.37466342176471
12.5	1.43309714053699	2.04572132757658	0.985679810906457
13.5	1.07609337670281	1.55298450825401	0.61294465797951
14.5	0.764626558322519	1.19441892027598	0.38000662731946
15.5	0.496093162739492	0.908624784521545	0.139170665882232
16.5	0.269191833389305	0.733605231656044	0
17.5	0.070418459343969	0.555167703803334	0
18.5	0	0.251001452679898	0
19.5	0	0.0751402936423011	0
20.5	0	0	0
21.5	0	0	0
22.5	0	0	0
23.5	0	0	0
24.5	0	0.00312501441776358	0
25.5	0	0.217259233770977	0
26.5	0	0.435228409114138	0
27.5	0.0890897133507707	0.508998686005774	0
28.5	0.242292351532019	0.570050521058915	0
29.5	0.386718972044201	0.653418936873669	0
30.5	0.542258097871539	0.773013552187711	0.0420608499588109
31.5	0.675198093930841	0.899292740321012	0.313906021374117
32.5	0.831857982804308	1.07203836483209	0.470025390935257
33.5	1.03716995803015	1.30406589926139	0.678060281486422
34.5	1.30283478819014	1.56872630904354	0.992895967583168
35.5	1.58513744849197	1.90607888744775	1.32256995900538
36.5	1.8969730640321	2.14096441023041	1.65114437229257
37.5	2.19324468673121	2.64985633661938	1.86130624761204
38.5	2.31473090629941	2.9254529858067	1.69162481461186
39.5	2.21688620797986	2.67918439261553	1.49850863149378
40.5	1.6643343143535	2.60683221647797	0.559805725587335
41.5	1.75844823036278	3.11800720901651	0.344744303469605
42.5	5.01027431184374	6.40338132416648	3.8525699449579
43.5	7.40250170517876	9.05642335571117	5.44593872566739
44.5	3.13507265840118	4.95622269903316	1.36232385339002
45.5	6.41962768891344	8.82914181502975	3.86314665887798
46.5	8.51798113337297	11.0144046067825	6.08289501245751
47.5	7.17034275707496	9.94502296123322	5.21676558220338
48.5	4.66632757233558	7.16937718765144	1.6895598291463
49.423502	3.59269353739006	6.70940069112769	0.742067164277773
