phys	rec.rate	upper	lower
0.5	NA	NA	NA
1.5	5.7124884113628	6.65543647191931	4.52879927317562
2.5	5.50583160057428	6.27127328819691	4.33967460098411
3.5	5.2197611606707	5.99622813894497	4.15046139640578
4.5	4.85211048578663	5.60116304609659	3.94422954526959
5.5	4.50814268043774	5.27330332765915	3.65056193724773
6.5	4.26677106109947	5.07522331241829	3.49798868510875
7.5	3.79736538778905	4.87786362925416	3.18210040359614
8.5	3.29339040519914	4.62777426712902	2.56571467939052
9.5	2.81858825015345	4.34154064911689	1.8122524706388
10.5	2.38441251484682	3.87987223005262	1.10359730405808
11.5	1.99813452649012	3.42211244255953	0.648360241967634
12.5	1.66474528991207	2.98387381064464	0.250043345168163
13.5	1.34414569633722	2.55140863845994	0
14.5	1.03618328195368	2.24341152323422	0
15.5	0.746613096963596	2.01259244242779	0
16.5	0.560513111804741	1.67669663892219	0
17.5	0.41564501780961	1.37293475308005	0
18.5	0.279818995557461	1.0582236882965	0
19.5	0.153035045048293	0.787046603613841	0
20.5	0.0352931662821093	0.529041101499852	0
21.5	0	0.326287561734966	0
22.5	0	0.188253312689084	0
23.5	0	0.112327467429183	0
24.5	0	0.149137040200453	0
25.5	0	0.17474303678223	0
26.5	0	0.224775814825747	0
27.5	0	0.286237286771649	0
28.5	0	0.320346584436217	0
29.5	0	0.376624730771727	0
30.5	0	0.40445832816559	0
31.5	0	0.422993676663431	0
32.5	0	0.425033408539128	0
33.5	0	0.431834289299328	0
34.5	0	0.43966630579373	0
35.5	0	0.446255821339714	0
36.5	0	0.480776691765274	0
37.5	0	0.521094175447884	0
38.5	0	0.580548691963256	0
39.5	0	0.643615919929795	0
40.5	0	0.703293631184462	0
41.5	0	0.775399705339108	0
42.5	0	0.85613386677305	0
43.5	0	0.962468002536075	0
44.5	0.0633905577465308	1.0318566470879	0
45.5	0.25657038333036	1.09905416813746	0
46.5	0.466110866321781	1.20964598165593	0
47.5	0.68153314712964	1.31327478655767	0.0838676166967842
48.5	0.902837225753936	1.4310428630121	0.265542902277976
49.5	1.12626590046301	1.54794349345233	0.502107013043973
50.5	1.33211796063803	1.72133219203942	0.788589950419181
51.5	1.51113184848877	2.11232862813888	0.914979541739601
52.5	1.70405629377454	2.53818919194507	0.951432992434194
53.5	1.9835144325897	3.07662879570963	1.10102847222596
54.5	2.16525323140403	3.5130495160945	1.27085000425375
55.5	2.2095742559305	4.0442553051807	1.08783180568688
56.5	3.13621153248675	4.73198468408371	2.11586713676729
57.5	4.82540682143631	5.73771509951143	3.84002952791353
58.5	6.77652109763511	7.7175063171715	5.7512630791785
59.5	8.89652081597301	10.6128672240716	6.82648586118533
60.5	10.5362374125887	11.9798083560546	7.47679338227228
61.5	11.4700064173295	12.9636513543979	7.92275156256064
62.062319	12.0062638273693	14.0419790731116	6.90133538479093
