phys	rec.rate	upper	lower
0.05	4.69105317510562	4.72543585788407	4.64441477647138
0.15	4.69105317510563	4.72543585788408	4.64441477647138
0.25	4.69105317510562	4.72543585788408	4.64441477647138
0.35	4.69105317510562	4.72543585788408	4.64441477647135
0.45	4.69069292527542	4.72459621118081	4.64441477647138
0.55	4.68888614799436	4.72006033848945	4.64441477647139
0.65	4.68694553902073	4.71534660650901	4.64441477647138
0.75	4.68492793632058	4.71048806041844	4.64441477647136
0.85	4.68293408600419	4.70610952400198	4.64441477647136
0.95	4.68098346067	4.70188645834883	4.64441477647138
1.05	4.679076060318	4.69911050867757	4.64441477647138
1.15	4.6772118849482	4.69666918953162	4.64441477647138
1.25	4.6753909345606	4.69465236378935	4.64441477647137
1.35	4.67361320915519	4.69266066705874	4.64441477647138
1.45	4.67187870873198	4.69073849083828	4.64441477647138
1.55	4.67018743329096	4.68875123802455	4.64441477647138
1.65	4.66853938283215	4.6868381614602	4.64441477647138
1.75	4.66693455735553	4.68481105564795	4.64441477647137
1.85	4.6653729568611	4.68272471909038	4.64441477647138
1.95	4.66385458134888	4.68069125329103	4.64441477647138
2.05	4.66237943081884	4.67855370424822	4.64441477647138
2.15	4.660947505271	4.67634341164523	4.64441477647138
2.25	4.65955880470536	4.67410729394589	4.64441477647138
2.35	4.65821332912192	4.67194589090383	4.64441477647136
2.45	4.65691104075762	4.66972280122393	4.64440994950863
2.55	4.65565315770564	4.66742411998896	4.64411945247264
2.65	4.65445056107671	4.66507576952166	4.64396759948446
2.75	4.65328904597798	4.66296450909405	4.64396255266972
2.85	4.65214594774226	4.66064025184762	4.64397507453675
2.95	4.65096562113746	4.65819929018852	4.64394491463356
3.05	4.64966928594166	4.65605651029909	4.64375108814049
3.15	4.64811956801256	4.65378378499504	4.64302026648537
3.25	4.6462104078827	4.65108335835387	4.64165914873716
3.35	4.64388023775758	4.64851214224021	4.63957922348815
3.45	4.64112430925777	4.64575346347016	4.63710995039866
3.55	4.63794262238328	4.64279040656409	4.6340572597887
3.65	4.63433069061833	4.63941898906594	4.63047830243671
3.75	4.63023494406726	4.63521669349986	4.62610087630774
3.85	4.62561998301091	4.63111672924095	4.62101083655313
3.95	4.62046857427597	4.62660303858788	4.61541970200951
4.05	4.61474467935882	4.62161196222057	4.60931031252605
4.15	4.60844357494196	4.61619388040421	4.60226639846245
4.25	4.6015538212553	4.60959541914886	4.59487551398234
4.35	4.59402772021846	4.60237986169155	4.58712754890268
4.45	4.58587143461424	4.5942311823461	4.57866382160328
4.55	4.57712492387034	4.58526142883287	4.56996817601641
4.65	4.56784007428769	4.57536050284827	4.56051032465506
4.75	4.55808074058948	4.56460938304602	4.55059033872774
4.85	4.54791836242245	4.55394880088666	4.54008680096438
4.95	4.53743059839475	4.54304664977054	4.53040633070217
5.05	4.52668622853437	4.53174781780909	4.51972366339607
5.15	4.51568802104608	4.52047380146972	4.50863080815724
5.25	4.50445815281091	4.51011888912473	4.49752771910044
5.35	4.49314439265516	4.49923510868185	4.48603920528535
5.45	4.48180717029809	4.48818551335135	4.47443174525198
5.55	4.47044666736839	4.47692570730788	4.46305117340534
5.65	4.45906288386609	4.46560714111696	4.45164439798522
5.75	4.44765581979115	4.45427448118096	4.44031822555173
5.85	4.43622547514359	4.44276953190206	4.42901572225429
5.95	4.42477708356561	4.43133163998701	4.41775957318027
6.05	4.41339495204722	4.42020851017717	4.40677332371782
6.15	4.40218223837894	4.4089987096592	4.39602566694847
6.25	4.39121601173197	4.39784458160314	4.38577546993999
6.35	4.38053428802959	4.38777507612595	4.37489544726182
6.45	4.37013953107152	4.37772377131158	4.36398042208063
6.55	4.36003174104432	4.36737747805605	4.35347539220823
6.65	4.35021535754532	4.35722697675515	4.34359742930309
6.75	4.34070632252219	4.34736302293259	4.33431185810915
6.85	4.33150821295265	4.33796457279201	4.32537607518696
6.95	4.32262135495014	4.32879773302847	4.31702187118032
7.05	4.31405049389368	4.32008490394235	4.30896802657947
7.15	4.30579921532158	4.31158041848109	4.30148819716227
7.25	4.29786760765231	4.30321031440509	4.29410726568999
7.35	4.29025567088588	4.2952103217787	4.28675033803378
7.45	4.28296340502229	4.28784797541389	4.27932382808594
7.55	4.27598900135208	4.28078924032784	4.27227718968266
7.65	4.26928128519983	4.27437872470617	4.26518316231969
7.75	4.26278300962702	4.2683575538573	4.2583406130623
7.85	4.25649114491227	4.26267697393656	4.25171476832985
7.95	4.25040569105559	4.25683996028697	4.24516659917405
8.05	4.24452664805698	4.25087761927438	4.23902092071881
8.15	4.23885401591644	4.24481818303186	4.23295940506337
8.25	4.23336634447114	4.23946949170566	4.22704115939487
8.35	4.22790194483817	4.23443481577192	4.22122880883308
8.45	4.22226753740461	4.22839135484415	4.21524093317776
8.55	4.21632249384793	4.22235517754068	4.20930813824614
8.65	4.21005072813749	4.21582637851766	4.20316483268304
8.75	4.20345442983226	4.20882160291836	4.19705557154942
8.85	4.19653359893225	4.2013610912851	4.1909923175149
8.95	4.18928823814076	4.19347935543217	4.18465176407747
9.05	4.18172450140939	4.18577188643544	4.17815703053766
9.15	4.173868258452	4.17788709073679	4.17051197474145
9.25	4.16576711100444	4.17019060842796	4.16234339613765
9.35	4.15743916385979	4.16224137011232	4.15365012734282
9.45	4.14888448363809	4.15390422732632	4.14511891815552
9.55	4.14010307033938	4.14539593120406	4.13631716433965
9.65	4.13109163372528	4.13692820063373	4.12708453141776
9.75	4.12181856591037	4.12825435796995	4.11760062623041
9.85	4.11212545941051	4.11894238366004	4.10730457003203
9.95	4.10176379108008	4.10848965931052	4.09606779448711
10.05	4.09064750236345	4.09705142248284	4.08377369881045
10.15	4.07880231568703	4.08481327700826	4.07091448602312
10.25	4.06632527370316	4.0716359720678	4.05739974623056
10.35	4.05324531226968	4.05819760392865	4.04345552127622
10.45	4.03968906528303	4.0448278513871	4.02922724364298
10.55	4.02584335515081	4.03124157414561	4.01488822392765
10.65	4.011758204618	4.01709296761318	4.00119764135286
10.75	3.99743363552823	4.00259469073693	3.98731008730629
10.85	3.98286964788139	3.98784668340673	3.97365674230392
10.95	3.96809401035248	3.97318495404507	3.95984424950571
11.05	3.95332282033618	3.95891608311614	3.94589855594351
11.15	3.93885944277015	3.9451743666003	3.93097496921449
11.25	3.9248792945095	3.93196266792643	3.91678426366641
11.35	3.91141291567607	3.91976990047476	3.90368724705357
11.45	3.89850385070423	3.90794018694736	3.8912050703616
11.55	3.88617651529278	3.89681737637366	3.87927248558977
11.65	3.87443697351807	3.885830960668	3.86777064814949
11.75	3.86328510255802	3.8749889036352	3.85663462044252
11.85	3.85270031135031	3.86468375935427	3.84605686033986
11.95	3.84263290512583	3.85483502122703	3.83597338070926
12.05	3.83300118847108	3.84533890782707	3.82626309333553
12.15	3.82379213052532	3.83558301340439	3.81714746589043
12.25	3.81500543800091	3.82652940262104	3.80840143282965
12.35	3.80657941975741	3.8173693685804	3.79975673930628
12.45	3.79829550898953	3.80788771366886	3.79088166079133
12.55	3.78995751199443	3.79844215444803	3.78192664058507
12.65	3.78143355361276	3.78918463035819	3.77308821814475
12.75	3.77257953523834	3.78005209017508	3.7638590120173
12.85	3.76333886829806	3.770530546225	3.75416364235965
12.95	3.75366255727905	3.76024495755394	3.74381622106502
13.05	3.74343961096745	3.74960323330388	3.73309076471345
13.15	3.73265148017471	3.73865164450466	3.72206170382051
13.25	3.72125125894756	3.72758546499163	3.7106745003598
13.35	3.70920254296059	3.71574720023489	3.69790267250926
13.45	3.6964838380972	3.70338943194532	3.68556862595369
13.55	3.6830687184149	3.69007573822814	3.67200034555102
13.65	3.66895431726012	3.67640570307112	3.65778235128342
13.75	3.65414063463286	3.66215711435783	3.64347979378711
13.85	3.63862899751562	3.64669714209974	3.6280221128855
13.95	3.62243848421417	3.63075347644131	3.61224687464898
14.05	3.605617766459	3.6141881503768	3.59537573571289
14.15	3.58819284008077	3.5967679880963	3.57784544659977
14.25	3.57020856489631	3.57956839178079	3.56087716249215
14.35	3.55182107331439	3.56176252116654	3.54258677886912
14.45	3.53322359421084	3.54308588780325	3.52461016785062
14.55	3.51451103932735	3.52441294953749	3.50603489875346
14.65	3.49569307677066	3.50576001548893	3.48705671682199
14.75	3.47676970654071	3.48723548573396	3.46780787765871
14.85	3.45774261638934	3.4680718703261	3.44909010868715
14.95	3.43869095604714	3.44906031936126	3.43043530769926
15.05	3.41972614336588	3.4299540418052	3.41138416769487
15.15	3.40085655720658	3.41061485633515	3.39230420836149
15.25	3.38208219756922	3.39174906676961	3.37278679455781
15.35	3.36343191850067	3.37243088461466	3.35459225001512
15.45	3.34504310571445	3.35370629014387	3.33612504408141
15.55	3.32695660494546	3.33548599152804	3.31779595786318
15.65	3.30917242291769	3.31807960315569	3.30005791430262
15.75	3.29172176048588	3.30104302956224	3.28278137872491
15.85	3.27485130893582	3.28531933438035	3.26485411877434
15.95	3.25870870644761	3.27028455645856	3.24832469049769
16.05	3.24337808208535	3.25581662463778	3.23275469439523
16.15	3.22907561504001	3.24164405066958	3.2185250258922
16.25	3.21599939074482	3.22838286462822	3.20618709973497
16.35	3.20416583494211	3.2161053136664	3.19431857774636
16.45	3.19347908881439	3.20485105449015	3.18429179030578
16.55	3.1837497187076	3.19451164473156	3.17503338301598
16.65	3.1748690666339	3.18489981178336	3.16630478204768
16.75	3.16669676384797	3.1766825382301	3.15853363689828
16.85	3.15908812599214	3.16896425617675	3.1517692967063
16.95	3.15192718787034	3.16149928192948	3.14403664691193
17.05	3.14509139456972	3.15407086654561	3.13631120739296
17.15	3.13836342129999	3.14692164731627	3.12873638729334
17.25	3.13167565857319	3.13996653515292	3.12160693986742
17.35	3.12502760835128	3.13335159814122	3.11543326416551
17.45	3.11841927063424	3.12687854054521	3.10906423548203
17.55	3.11184722994131	3.11989705395928	3.10277657493493
17.65	3.1051407557436	3.11251610364012	3.09593302298511
17.75	3.09795555468916	3.10538322631483	3.08893038137175
17.85	3.09018008845118	3.09808361220739	3.08073127108935
17.95	3.08180406048674	3.09017002760553	3.07187667232522
18.05	3.07282747360951	3.08111167533824	3.06333125369791
18.15	3.06325153351292	3.07162730444008	3.05366691479078
18.25	3.0530789639813	3.06108237805512	3.04376666326479
18.35	3.0423101388444	3.05007991825462	3.03362292773458
18.45	3.03094832894598	3.03861111346555	3.02269695474297
18.55	3.01910632201843	3.02645137568426	3.01079275688942
18.65	3.00702109278975	3.01435587828503	2.99813012988274
18.75	2.99482532512512	3.00190550292026	2.98531792020495
18.85	2.98260690473953	2.98995377029462	2.97280710342003
18.95	2.97037737165083	2.977783990663	2.96053982250409
19.05	2.9581292142679	2.96551674275785	2.94885226558802
19.15	2.94586025256821	2.95308532120938	2.93707440394064
19.25	2.93355826048799	2.94054555279937	2.92553561482209
19.35	2.92118925179335	2.92771812985379	2.91414054237103
19.45	2.90873874347256	2.91473928427208	2.90245305127546
19.55	2.89616056079165	2.90178359774427	2.89017137372986
19.65	2.88341330935802	2.88878894977751	2.87771014275563
19.75	2.87042808655606	2.87599602430913	2.86475651881774
19.85	2.85719362891957	2.86318128933963	2.85142061381506
19.95	2.84370989674821	2.85017381250478	2.83752736160134
20.05	2.82994608640293	2.83656329997038	2.82354307925798
20.15	2.8158163217952	2.82274947876224	2.80913317473114
20.25	2.80130575528012	2.80839978532363	2.79434766782178
20.35	2.78641142092762	2.79334039874048	2.77929630929665
20.45	2.77107015370636	2.77770886068849	2.76399570547024
20.55	2.75521955791993	2.76157732801131	2.74811515019221
20.65	2.73874573092824	2.74469523187817	2.73155793537628
20.75	2.72140925086302	2.72702400209375	2.71472578916645
