phys	rec.rate	upper	lower
0.5	5.57293472217312	8.88725391266042	3.80861329650545
1.5	4.7149682131346	5.6790463596849	3.7387783974853
2.5	1.89940484409323	3.07601746326668	1.25972723598727
3.5	1.31897351807748	2.06135019221088	0
4.5	4.88931763050516	6.98911093867897	1.38218649389039
5.5	1.92387973529404	4.47529429036307	1.06644848714401
6.5	0	1.82573141275447	0
7.5	1.19978292280725	2.57159730706049	0
8.5	1.23553309492978	2.44667062909013	0.198505316344815
9.5	5.04238582736828	5.92890211137783	4.01552734614075
10.5	4.14414347841348	5.69900946617449	2.70624161493155
11.5	4.26844628103954	5.34591234582343	3.02656402528894
12.5	7.06141080859345	8.01559293070705	6.23481960497822
13.5	6.38293241045269	7.39406298675011	4.89222395060087
14.5	5.69747044225978	7.10963622472168	4.43525822369339
15.5	6.39508942510206	7.53117774739573	5.41056772925699
16.5	5.1419501332025	5.8401928950266	4.54760969789459
17.5	3.82493744512909	4.50576539853247	2.59238066746395
18.5	2.54392129436205	4.99149707285111	1.52204932698155
19.070139	2.71465369250782	4.99149707285112	0.991149939102859
